repo_name,function_name,language,file_path,line,signature_excerpt,visibility,invocation_type,called_by,reference_count,string_reference_count,live_confidence,notes,owner_review,status,same_file_reference_count,same_file_string_reference_count,total_reference_count,path_invoked_match_file
Solution,remove_existing_file,py,index_repo.py,166,def remove_existing_file(path):,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,index_file,py,index_repo.py,183,def index_file(path):,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,scan_repo,py,index_repo.py,229,def scan_repo():,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,parseToolArgs,ts,live-harness.ts,5,"function parseToolArgs(argsString: string): Record<string, string> {",internal,Direct,"src/agents/sub-agent.ts (2 call refs, 0 string refs)",2,0,medium,Same-file references detected; private helper usage is present.,,,1,0,3,
Solution,should_skip,py,output/repo_function_audit.py,42,def should_skip(path: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,is_text_code,py,output/repo_function_audit.py,52,def is_text_code(path: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,safe_read,py,output/repo_function_audit.py,55,def safe_read(path: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,line_number,py,output/repo_function_audit.py,61,"def line_number(text, idx):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,visibility,py,output/repo_function_audit.py,64,"def visibility(name, path, line_text):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,12,6,12,
Solution,invocation_type,py,output/repo_function_audit.py,74,"def invocation_type(path, content):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,17,6,17,
Solution,parse_functions,py,output/repo_function_audit.py,86,"def parse_functions(path: Path, content: str):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,find_references,py,output/repo_function_audit.py,133,"def find_references(all_files, function_name, own_path, own_definition_lines=None):",internal,"CLI, Handler, Scheduler, Test","tests/test_repo_function_audit.py (1 call refs, 0 string refs)",1,0,high,Same-file references detected; private helper usage is present.,,,1,0,2,
Solution,confidence,py,output/repo_function_audit.py,175,"def confidence(visibility, callers, same_file_callers, invocation_type):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,detect_path_invoked,py,output/repo_function_audit.py,187,"def detect_path_invoked(file_path, all_files):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,repo_name,py,output/repo_function_audit.py,210,def repo_name(root: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,Same-file references detected; private helper usage is present.,,,6,3,6,
Solution,main,py,output/repo_function_audit.py,213,def main():,internal,"CLI, Handler, Scheduler, Test","scripts/install.js (2 call refs, 0 string refs); scripts/measurement-checkpoint.ts (2 call refs, 0 string refs); scripts/architecture-sync-check.js (2 call refs, 0 string refs); src/internal/config.js (0 call refs, 1 string refs); src/agents/cli.ts (3 call refs, 0 string refs); src/knowledge/ingest/ingest-repository.js (2 call refs, 0 string refs); src/knowledge/ingest/ingest-sprint-history.js (5 call refs, 0 string refs); src/daemon/daemon-runner.js (2 call refs, 0 string refs); src/installer/hw-probe/test-probe.ts (2 call refs, 0 string refs); src/mcp/server.ts (2 call refs, 0 string refs); src/main/ipc/__tests__/ipcAdapter.test.ts (0 call refs, 4 string refs); tests/git-monitor-coverage.test.js (0 call refs, 9 string refs); tests/test-runner-coverage.test.js (1 call refs, 0 string refs); tests/cli_debug.test.js (0 call refs, 2 string refs); tests/sprint77-build-and-scope-guard.test.js (2 call refs, 0 string refs)",56,24,high,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,1,0,57,
Solution,detect_path_invoked_test,py,output/test_detect_path.py,4,"def detect_path_invoked_test(test_string, basename):",test-only,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,3,0,3,
Solution,getCapabilities,js,plugins/acme-browser-platform.js,3,export function getCapabilities() {,public,Direct,"src/plugin-loader.js (1 call refs, 0 string refs); plugins/sample-healthcheck.js (2 call refs, 0 string refs); plugins/acme-llm-provider.js (2 call refs, 0 string refs); tests/reference-plugins.test.js (5 call refs, 0 string refs); tests/plugin-loader.test.js (10 call refs, 0 string refs); tests/fixtures/plugins/bad-version.js (2 call refs, 0 string refs)",22,0,high,Cross-file references detected; review for external wiring.,,,0,0,22,
Solution,getCapabilities,js,plugins/acme-llm-provider.js,3,export function getCapabilities() {,public,Direct,"src/plugin-loader.js (1 call refs, 0 string refs); plugins/sample-healthcheck.js (2 call refs, 0 string refs); plugins/acme-browser-platform.js (2 call refs, 0 string refs); tests/reference-plugins.test.js (5 call refs, 0 string refs); tests/plugin-loader.test.js (10 call refs, 0 string refs); tests/fixtures/plugins/bad-version.js (2 call refs, 0 string refs)",22,0,high,Cross-file references detected; review for external wiring.,,,0,0,22,
Solution,getCapabilities,js,plugins/sample-healthcheck.js,3,export function getCapabilities() {,public,Direct,"src/plugin-loader.js (1 call refs, 0 string refs); plugins/acme-llm-provider.js (2 call refs, 0 string refs); plugins/acme-browser-platform.js (2 call refs, 0 string refs); tests/reference-plugins.test.js (5 call refs, 0 string refs); tests/plugin-loader.test.js (10 call refs, 0 string refs); tests/fixtures/plugins/bad-version.js (2 call refs, 0 string refs)",22,0,high,Cross-file references detected; review for external wiring.,,,0,0,22,
Solution,TopBar,jsx,renderer/App.jsx,108,"function TopBar({ screen, daemonRunning, onRefresh }) {",internal,Handler,,0,0,high,Same-file references detected; private helper usage is present.,,,5,0,5,
Solution,onStorage,jsx,renderer/App.jsx,115,const onStorage = (e) => {,internal,Handler,,0,0,high,Same-file references detected; private helper usage is present.,,,2,0,2,
Solution,App,jsx,renderer/App.jsx,213,export default function App() {,public,Handler,"renderer/main.jsx (3 call refs, 0 string refs)",3,0,high,Same-file references detected; private helper usage is present.,,,1,0,4,
Solution,handler,jsx,renderer/App.jsx,230,const handler = (evt) => {,internal,Handler,"src/ui/types.d.ts (1 call refs, 0 string refs); src/renderer/types/electron.d.ts (7 call refs, 0 string refs); e2e/browser-pane.e2e.js (4 call refs, 0 string refs); output/repo_function_audit.py (1 call refs, 0 string refs); tests/bc2-sync.test.js (1 call refs, 0 string refs); tests/shared/retrieval/graph-builder.test.ts (4 call refs, 0 string refs); tests/shared/retrieval/fixtures/graph-builder/overloads.ts (2 call refs, 0 string refs); tests/llm/inference-branches.test.js (1 call refs, 0 string refs); tests/llm/inference-coverage.test.js (1 call refs, 0 string refs); tests/llm/inference-gap-closure.test.js (1 call refs, 0 string refs); tests/storage/symbol-extractor.test.ts (2 call refs, 1 string refs); tests/mcp/server-coverage.test.ts (0 call refs, 1 string refs)",25,2,high,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,2,0,27,
Solution,onKey,jsx,renderer/App.jsx,251,const onKey = (e) => {,internal,Handler,,0,0,high,Same-file references detected; private helper usage is present.,,,2,0,2,
Solution,handleEditTemplate,jsx,renderer/App.jsx,282,const handleEditTemplate = (template) => {,internal,Handler,,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,handleRefresh,jsx,renderer/App.jsx,287,const handleRefresh = () => setRefreshKey((k) => k + 1);,internal,Handler,,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
